,t1,trgt,pt,sl
2010-07-14 11:03:36,2010-07-15 10:21:15,0.011174753789553304,1,1
2010-07-14 11:25:10,2010-07-15 10:12:46,0.01113388118291256,1,1
2010-07-14 11:25:59,2010-07-15 10:12:46,0.011103133372306395,1,1
2010-07-14 11:26:11,2010-07-15 10:12:46,0.011072933456498403,1,1
2010-07-14 11:26:42,2010-07-15 10:12:46,0.011037001849170846,1,1
2010-07-14 11:27:29,2010-07-15 10:12:46,0.011014656496576401,1,1
2010-07-14 11:31:12,2010-07-15 10:12:46,0.010967881662958928,1,1
2010-07-14 11:50:22,2010-07-15 10:08:56,0.0109605646581038,1,1
2010-07-14 12:16:32,2010-07-15 10:12:46,0.010957054754307078,1,1
2010-07-14 12:28:36,2010-07-15 10:08:56,0.010945920533975993,1,1
2010-07-14 12:52:36,2010-07-15 10:12:46,0.010960914900484032,1,1
2010-07-14 13:10:49,2010-07-15 10:21:15,0.010970784160326852,1,1
2010-07-14 13:48:58,2010-07-15 10:21:15,0.01095759396965851,1,1
2010-07-14 14:02:20,2010-07-16 09:53:27,0.010934176165496285,1,1
2010-07-14 14:04:07,2010-07-16 09:55:12,0.010989941011341214,1,1
2010-07-14 14:13:52,2010-07-16 09:57:04,0.011070765978092973,1,1
2010-07-14 14:31:47,2010-07-16 10:06:57,0.011146905731516783,1,1
2010-07-14 14:40:31,2010-07-16 09:57:04,0.011235842625058758,1,1
2010-07-14 14:52:06,2010-07-16 09:57:04,0.011282222389509359,1,1
2010-07-14 15:04:22,2010-07-16 09:55:12,0.011290281002209175,1,1
2010-07-14 15:17:19,2010-07-16 09:57:04,0.011390694813914063,1,1
2010-07-14 15:30:33,2010-07-16 09:55:12,0.011412663775472957,1,1
2010-07-14 15:39:09,2010-07-16 09:55:12,0.011436956954803673,1,1
2010-07-14 15:49:49,2010-07-16 09:55:12,0.01148444964178605,1,1
2010-07-14 15:57:12,2010-07-15 10:21:15,0.011473709647604816,1,1
2010-07-14 15:59:16,2010-07-15 10:21:15,0.011421836267006743,1,1
2010-07-14 16:00:00,2010-07-15 10:12:46,0.011353116904251937,1,1
2010-07-15 09:30:02,2010-07-15 10:12:46,0.011281293234340368,1,1
2010-07-15 09:39:16,2010-07-15 10:21:15,0.011173990684909941,1,1
2010-07-15 09:42:06,2010-07-16 09:53:27,0.011078639793430345,1,1
2010-07-15 09:48:35,2010-07-16 09:55:12,0.010997051964502328,1,1
2010-07-15 09:57:50,2010-07-16 09:53:27,0.010906688188531063,1,1
2010-07-15 10:08:56,2010-07-15 15:56:02,0.010910625330036887,1,1
2010-07-15 10:12:46,2010-07-15 15:44:58,0.010959014787230114,1,1
2010-07-15 10:21:15,2010-07-15 15:44:58,0.011025135304959193,1,1
2010-07-15 10:44:37,2010-07-15 15:49:22,0.011067348543695942,1,1
2010-07-15 10:55:43,2010-07-15 15:56:02,0.01108201685722846,1,1
2010-07-15 11:27:22,2010-07-15 15:56:02,0.011151348147684245,1,1
2010-07-15 11:51:34,2010-07-15 15:56:02,0.011322101734059729,1,1
2010-07-15 11:59:41,2010-07-15 15:56:02,0.011430754448395065,1,1
2010-07-15 12:51:22,2010-07-15 15:56:02,0.011556794178121279,1,1
2010-07-15 13:24:53,2010-07-16 09:57:04,0.011475106070498805,1,1
2010-07-15 13:36:34,2010-07-16 09:57:04,0.011401622844575701,1,1
2010-07-15 14:09:53,2010-07-16 10:06:57,0.01130554213960513,1,1
2010-07-15 14:28:49,2010-07-16 09:55:12,0.011193075442062285,1,1
2010-07-15 14:51:36,2010-07-16 09:55:12,0.01108219603854085,1,1
